Sigla;Código;Município;Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (2000);Anos de estudo - média - pessoas 25 anos e mais (2000)
PA;1503804;Jacundá;1.1;;1.4;;2.1;2.401;;3.433
PA;1503903;Juruti;1.2;;1.7;;2.3;2.276;;3.378
PA;1504000;Limoeiro do Ajuru;1.3;;1.5;;2.3;2.302;;2.831
PA;1504059;Mãe do Rio;;;;;2.8;2.751;;3.593
PA;1504109;Magalhães Barata;1.3;;2.1;;2.8;2.821;;3.903
PA;1504208;Marabá;1.1;;2.3;;3.8;3.84;;5.048
PA;1504307;Maracanã;1.3;;2;;2.9;2.857;;3.625
PA;1504406;Marapanim;1.6;;2.2;;3.2;3.172;;4.115
PA;1504422;Marituba;;;;;;4.112;;5.574
PA;1504455;Medicilândia;;;;;2.5;2.166;;3.282
PA;1504505;Melgaço;0.3;;0.9;;0.6;0.595;;1.435
PA;1504604;Mocajuba;1.9;;2.5;;3;3.027;;4.341
PA;1504703;Moju;1;;1.3;;1.7;1.779;;2.541
PA;1504752;Mojuí dos Campos;;;;;;;;
PA;1504802;Monte Alegre;1.3;;2.2;;3;2.755;;3.699
PA;1504901;Muaná;1.3;;1.4;;2.4;2.381;;3.202
PA;1504950;Nova Esperança do Piriá;;;;;;1.626;;2.02
PA;1504976;Nova Ipixuna;;;;;;1.535;;2.899
PA;1505007;Nova Timboteua;1.4;;1.7;;2.7;2.697;;3.76
PA;1505031;Novo Progresso;;;;;;3.241;;3.501
PA;1505064;Novo Repartimento;;;;;;1.523;;2.557
PA;1505106;Óbidos;1.6;;2.2;;3;2.99;;3.897
PA;1505205;Oeiras do Pará;0.6;;1.4;;1.9;1.875;;2.79
PA;1505304;Oriximiná;1.3;;2.3;;3.6;3.598;;4.618
PA;1505403;Ourém;0.9;;1.2;;2;2.29;;3.269
PA;1505437;Ourilândia do Norte;;;;;2.5;2.537;;2.99
PA;1505486;Pacajá;;;;;1.6;1.558;;2.32
PA;1505494;Palestina do Pará;;;;;;1.676;;3.339
PA;1505502;Paragominas;1;;1.8;;2.6;2.66;;3.892
PA;1505536;Parauapebas;;;;;3.8;4.595;;5.042
PA;1505551;Pau D'Arco;;;;;;1.945;;2.681
PA;1505601;Peixe-Boi;1.2;;1.6;;2.9;2.878;;3.574
PA;1505635;Piçarra;;;;;;1.58;;2.719
PA;1505650;Placas;;;;;;2.344;;2.877
PA;1505700;Ponta de Pedras;1.1;;1.3;;2.6;2.561;;3.69
PA;1505809;Portel;0.5;;0.8;;1.1;1.085;;1.883
PA;1505908;Porto de Moz;0.5;;0.9;;1.4;1.409;;2.637
PA;1506005;Prainha;1.5;;1.6;;2.1;2.122;;2.942
PA;1506104;Primavera;0.9;;1.5;;2.3;2.216;;3.644
PA;1506112;Quatipuru;;;;;;2.338;;3.079
PA;1506138;Redenção;;;;;3.1;3.162;;4.381
PA;1506161;Rio Maria;;;;;2.4;2.368;;3.551
PA;1506187;Rondon do Pará;;;;;2.6;2.8;;3.513
PA;1506195;Rurópolis;;;;;2.1;2.142;;3.023
PA;1506203;Salinópolis;1.5;;2.2;;3.6;3.624;;4.521
PA;1506302;Salvaterra;1.7;;2.4;;3.3;3.226;;4.448
PA;1506351;Santa Bárbara do Pará;;;;;;3.197;;4.811
PA;1506401;Santa Cruz do Arari;0.9;;1.5;;2.1;2.317;;3.176
PA;1506500;Santa Isabel do Pará;1.7;;2.8;;3.9;3.87;;5.214
PA;1506559;Santa Luzia do Pará;;;;;;1.73;;2.789
PA;1506583;Santa Maria das Barreiras;;;;;2.6;2.486;;3.214
PA;1506609;Santa Maria do Pará;1;;1.4;;2.6;2.591;;3.662
PA;1506708;Santana do Araguaia;0.5;;1.4;;2.5;2.517;;3.274
PA;1506807;Santarém;1.7;;2.8;;4.1;4.248;;5.428
PA;1506906;Santarém Novo;1.3;;1.7;;2.8;2.746;;3.439
PA;1507003;Santo Antônio do Tauá;1;;1.9;;2.9;2.947;;4.303
PA;1507102;São Caetano de Odivelas;1.6;;2.2;;2.9;2.949;;4.021
PA;1507151;São Domingos do Araguaia;;;;;;1.71;;3.039
PA;1507201;São Domingos do Capim;0.9;;1.5;;1.8;2.225;;2.492
PA;1507300;São Félix do Xingu;1;;1.4;;2.5;2.49;;3.088
PA;1507409;São Francisco do Pará;1.1;;2.1;;3.3;3.226;;3.964
PA;1507458;São Geraldo do Araguaia;;;;;1.8;1.853;;3.023
PA;1507466;São João da Ponta;;;;;;2.75;;3.766
PA;1507474;São João de Pirabas;;;;;2;1.986;;3.318
PA;1507508;São João do Araguaia;0.3;;1.1;;1.7;1.59;;2.63
PA;1507607;São Miguel do Guamá;1.1;;1.6;;2.6;2.57;;3.654
PA;1507706;São Sebastião da Boa Vista;1.1;;1.9;;2.3;2.346;;3.49
PA;1507755;Sapucaia;;;;;;2.411;;3.564
PA;1507805;Senador José Porfírio;1.1;;0.9;;1.7;1.856;;2.619
PA;1507904;Soure;1.9;;2.7;;3.7;3.727;;4.953
PA;1507953;Tailândia;;;;;2.7;2.703;;3.31
PA;1507961;Terra Alta;;;;;;2.837;;4.293
PA;1507979;Terra Santa;;;;;;2.908;;4.118
PA;1508001;Tomé-Açu;1.4;;2;;2.8;2.82;;3.569
PA;1508035;Tracuateua;;;;;;1.96;;2.949
PA;1508050;Trairão;;;;;;1.921;;2.942
PA;1508084;Tucumã;;;;;2.6;2.59;;3.731
PA;1508100;Tucuruí;1.5;;3.7;;3.4;4.143;;5.308
PA;1508126;Ulianópolis;;;;;;2.178;;3.119
PA;1508159;Uruará;;;;;2.1;2.13;;3.116
PA;1508209;Vigia;1.7;;2.7;;3.4;3.36;;4.451
PA;1508308;Viseu;1.1;;1.3;;1.8;1.902;;2.526
PA;1508357;Vitória do Xingu;;;;;;1.604;;3.037
PA;1508407;Xinguara;;;;;2.8;2.869;;3.877
PA;1599919;Monsarás;;;;;;;;
PA;1599939;Vila Franca;;;;;;;;
PB;2500106;Água Branca;0.9;;1.1;;1.9;1.898;;2.807
PB;2500205;Aguiar;0.2;;0.6;;1.5;1.609;;2.505
PB;2500304;Alagoa Grande;0.7;;1.1;;2;1.971;;2.764
PB;2500403;Alagoa Nova;0.4;;1.1;;2.1;2.252;;2.711
PB;2500502;Alagoinha;0.6;;0.5;;1.4;1.398;;2.394
PB;2500536;Alcantil;;;;;;1.543;;2.387
PB;2500577;Algodão de Jandaíra;;;;;;1.199;;1.755
PB;2500601;Alhandra;0.6;;1.1;;1.8;1.791;;2.889
PB;2500700;São João do Rio do Peixe;0.6;;1.4;;2.4;2.491;;3.303
PB;2500734;Amparo;;;;;;1.658;;2.815
PB;2500775;Aparecida;;;;;;1.708;;2.828
PB;2500809;Araçagi;0.4;;0.9;;1.3;1.338;;2.213
PB;2500908;Arara;0.6;;1;;1.6;1.669;;1.955
PB;2501005;Araruna;0.7;;0.9;;1.7;1.739;;2.482
PB;2501104;Areia;0.8;;1.4;;2.2;2.216;;3.015
PB;2501153;Areia de Baraúnas;;;;;;1.215;;2.091
PB;2501203;Areial;0.8;;1.5;;2.1;2.098;;3.106
PB;2501302;Aroeiras;0.5;;0.9;;1.4;1.464;;2.303
PB;2501351;Assunção;;;;;;1.921;;2.61
PB;2501401;Baía da Traição;0.5;;1.1;;2.1;1.996;;3.245
PB;2501500;Bananeiras;0.9;;1;;1.8;1.842;;2.422
PB;2501534;Baraúna;;;;;;1.125;;2.218
PB;2501575;Barra de Santana;;;;;;1.562;;2.13
PB;2501609;Barra de Santa Rosa;0.5;;0.6;;1.6;1.787;;2.499
PB;2501708;Barra de São Miguel;1.4;;1.8;;1.8;1.936;;3.191
PB;2501807;Bayeux;1.4;;2.5;;3.6;3.574;;4.602
PB;2501906;Belém;0.5;;1.2;;1.8;1.838;;2.538
PB;2502003;Belém do Brejo do Cruz;0.8;;0.9;;1.9;1.86;;2.702
PB;2502052;Bernardino Batista;;;;;;1.403;;2.027
PB;2502102;Boa Ventura;0.3;;1.1;;1.8;1.932;;2.852
PB;2502151;Boa Vista;;;;;;2.998;;3.853
PB;2502201;Bom Jesus;1;;1.3;;1.9;2.028;;2.813
PB;2502300;Bom Sucesso;0.7;;1;;2;1.854;;2.78
PB;2502409;Bonito de Santa Fé;0.8;;1.3;;2;2.065;;2.797
PB;2502508;Boqueirão;0.6;;1.2;;2;2.479;;3.301
PB;2502607;Igaracy;0.3;;1.3;;2;1.963;;2.618
PB;2502706;Borborema;0.8;;1;;1.8;1.884;;2.621
PB;2502805;Brejo do Cruz;0.9;;1.5;;2.4;2.47;;3.545
PB;2502904;Brejo dos Santos;0.5;;1.2;;2.1;2.074;;3.039
PB;2503001;Caaporã;0.6;;1.3;;1.9;1.903;;3.238
PB;2503100;Cabaceiras;1.1;;1.7;;2.5;2.771;;3.721
PB;2503209;Cabedelo;1.8;;3;;4.4;4.442;;6.638
PB;2503308;Cachoeira dos Índios;0.7;;0.7;;1.8;1.877;;2.608
PB;2503407;Cacimba de Areia;0.9;;1.3;;1.7;1.809;;2.543
PB;2503506;Cacimba de Dentro;0.4;;0.6;;1.1;1.075;;1.883
PB;2503555;Cacimbas;;;;;;0.796;;1.381
PB;2503605;Caiçara;0.7;;1;;1.5;1.736;;2.892
PB;2503704;Cajazeiras;1.5;;2.3;;3.6;3.647;;4.421
PB;2503753;Cajazeirinhas;;;;;;1.135;;2.039
PB;2503803;Caldas Brandão;0.6;;0.8;;1.6;1.554;;2.441
PB;2503902;Camalaú;0.4;;0.9;;1.7;1.809;;2.644
PB;2504009;Campina Grande;2.1;;3.7;;5.2;5.273;;6.193
PB;2504033;Capim;;;;;;0.969;;1.522
PB;2504074;Caraúbas;;;;;;1.759;;2.841
PB;2504108;Carrapateira;0.1;;0.6;;2.2;1.992;;2.224
PB;2504157;Casserengue;;;;;;0.508;;1.402
PB;2504207;Catingueira;0.5;;1.3;;1.8;1.548;;2.637
PB;2504306;Catolé do Rocha;1.2;;2;;3;2.962;;3.857
PB;2504355;Caturité;;;;;;2.135;;3.155
PB;2504405;Conceição;0.8;;1.4;;2.1;2.263;;3.119
PB;2504504;Condado;0.7;;1.2;;2.4;2.43;;2.764
PB;2504603;Conde;0.4;;1;;1.9;1.876;;3
PB;2504702;Congo;0.6;;1.6;;1.8;1.793;;3.123
PB;2504801;Coremas;0.5;;1.2;;2;1.964;;2.837
PB;2504850;Coxixola;;;;;;2.307;;2.994
PB;2504900;Cruz do Espírito Santo;0.7;;0.8;;1.6;1.589;;2.614
PB;2505006;Cubati;0.6;;1.1;;1.9;2.022;;2.8
PB;2505105;Cuité;0.7;;0.9;;1.9;2.001;;2.726
PB;2505204;Cuitegi;0.2;;0.8;;1.3;1.347;;2.368
PB;2505238;Cuité de Mamanguape;;;;;;0.772;;1.623
PB;2505279;Curral de Cima;;;;;;0.749;;1.283
PB;2505303;Curral Velho;0.1;;0.8;;1.6;1.747;;2.486
PB;2505352;Damião;;;;;;0.667;;1.32
PB;2505402;Desterro;0.6;;0.8;;1.4;1.841;;2.434
PB;2505501;Vista Serrana;1.3;;0.8;;1.5;1.817;;3.112
PB;2505600;Diamante;0.5;;0.9;;2;1.899;;3.027
PB;2505709;Dona Inês;0.5;;0.7;;1.2;1.203;;2.038
PB;2505808;Duas Estradas;0.6;;0.9;;1.5;1.472;;2.554
PB;2505907;Emas;1;;1.1;;1.7;1.673;;2.522
PB;2506004;Esperança;1;;1.7;;2.5;2.459;;3.506
PB;2506103;Fagundes;0.4;;0.9;;1.7;1.636;;2.318
PB;2506202;Frei Martinho;0.9;;1.5;;2.5;2.326;;3.306
PB;2506251;Gado Bravo;;;;;;1.242;;1.813
PB;2506301;Guarabira;1.3;;2;;3.3;3.247;;4.352
PB;2506400;Gurinhém;0.4;;0.8;;1.4;1.442;;2.281
PB;2506509;Gurjão;0.9;;1.2;;2.5;2.613;;3.507
PB;2506608;Ibiara;0.7;;1.1;;2.1;2.008;;2.77
PB;2506707;Imaculada;0.5;;0.7;;1.5;1.392;;2.323
PB;2506806;Ingá;0.6;;1.1;;1.6;1.632;;2.929
PB;2506905;Itabaiana;1.1;;1.9;;2.8;2.782;;3.692
PB;2507002;Itaporanga;1.2;;2;;3;2.999;;4.39
PB;2507101;Itapororoca;0.2;;0.6;;1.4;1.401;;2.039
PB;2507200;Itatuba;0.6;;1;;1.4;1.429;;2.205
PB;2507309;Jacaraú;0.3;;0.7;;1.3;1.333;;2.16
PB;2507408;Jericó;0.9;;1.1;;1.9;2.009;;3.056
PB;2507507;João Pessoa;3.4;;5.3;;6.8;6.825;;7.53
PB;2507606;Juarez Távora;0.2;;1.1;;1.6;1.63;;2.469
PB;2507705;Juazeirinho;0.4;;1;;2;2.157;;2.914
PB;2507804;Junco do Seridó;1.2;;1.6;;2.4;2.397;;3.442
PB;2507903;Juripiranga;0.5;;0.8;;1.5;1.534;;2.253
PB;2508000;Juru;0.4;;0.6;;1.3;1.276;;2.239
PB;2508109;Lagoa;0.2;;0.5;;1.7;1.68;;2.419
PB;2508208;Lagoa de Dentro;0.6;;1;;1.8;1.691;;2.46
PB;2508307;Lagoa Seca;0.7;;1.4;;2.5;2.497;;3.399
PB;2508406;Lastro;1;;0.9;;1.6;1.707;;2.368
PB;2508505;Livramento;1.1;;1.4;;2;1.967;;2.772
PB;2508554;Logradouro;;;;;;1.323;;2.683
PB;2508604;Lucena;0.5;;0.9;;1.5;1.603;;2.963
PB;2508703;Mãe d'Água;0.6;;0.9;;1.1;1.415;;2.208
PB;2508802;Malta;0.6;;1.2;;2.4;2.467;;3.295
PB;2508901;Mamanguape;0.6;;1.2;;1.8;2.242;;3.132
PB;2509008;Manaíra;0.2;;0.8;;1.6;1.585;;2.397
PB;2509057;Marcação;;;;;;1.119;;2.141
PB;2509107;Mari;0.4;;0.9;;1.7;1.68;;2.387
PB;2509156;Marizópolis;;;;;;2.102;;2.843
PB;2509206;Massaranduba;0.2;;0.7;;1.7;1.587;;2.144
PB;2509305;Mataraca;0.8;;1.2;;1.8;1.918;;2.594
PB;2509339;Matinhas;;;;;;1.631;;2.245
PB;2509370;Mato Grosso;;;;;;1.066;;1.622
PB;2509396;Maturéia;;;;;;1.055;;1.956
PB;2509404;Mogeiro;0.4;;0.7;;1.6;1.55;;2.34
PB;2509503;Montadas;0.3;;0.8;;1.8;1.792;;2.738
PB;2509602;Monte Horebe;0.8;;0.7;;1.7;1.772;;2.645
PB;2509701;Monteiro;0.9;;1.5;;2.6;2.551;;3.352
PB;2509800;Mulungu;0.4;;0.8;;1.6;1.555;;2.517
PB;2509909;Natuba;0.5;;0.8;;1.3;1.239;;2.119
PB;2510006;Nazarezinho;0.4;;1.3;;2.1;2.132;;2.562
PB;2510105;Nova Floresta;0.9;;1.1;;1.9;1.907;;2.788
PB;2510204;Nova Olinda;1.1;;1;;1.9;1.893;;2.527
PB;2510303;Nova Palmeira;0.5;;0.7;;2.3;2.134;;3.257
PB;2510402;Olho d'Água;1.1;;1.1;;1.6;1.75;;2.884
PB;2510501;Olivedos;0.8;;1.5;;2.3;2.227;;2.847
PB;2510600;Ouro Velho;1.2;;1.6;;2.3;2.552;;3.952
PB;2510659;Parari;;;;;;2.033;;3.129
PB;2510709;Passagem;0.4;;1;;1.4;1.882;;2.681
PB;2510808;Patos;1.8;;2.8;;4.3;4.268;;4.956
PB;2510907;Paulista;0.5;;1;;1.9;1.869;;2.533
PB;2511004;Pedra Branca;1;;1.2;;2.5;2.045;;3.2
PB;2511103;Pedra Lavrada;0.4;;0.4;;1.8;1.746;;2.679
PB;2511202;Pedras de Fogo;0.2;;0.9;;1.7;1.779;;2.374
PB;2511301;Piancó;0.7;;1.5;;2.8;2.809;;3.829
PB;2511400;Picuí;0.8;;1.3;;2.1;2.242;;3.016
PB;2511509;Pilar;0.7;;0.9;;1.6;1.828;;2.917
PB;2511608;Pilões;0.6;;0.7;;1.4;1.433;;1.998
PB;2511707;Pilõezinhos;0.4;;0.6;;1.4;1.288;;1.776
PB;2511806;Pirpirituba;0.8;;1;;1.9;1.881;;3.319
PB;2511905;Pitimbu;0.8;;1.4;;1.8;1.798;;2.911
PB;2512002;Pocinhos;0.3;;1.2;;2.1;2.079;;2.935
PB;2512036;Poço Dantas;;;;;;1.005;;1.391
PB;2512077;Poço de José de Moura;;;;;;1.681;;2.582
PB;2512101;Pombal;1.1;;1.8;;2.8;3.174;;3.734
PB;2512200;Prata;1;;1.2;;1.7;1.863;;3.051
PB;2512309;Princesa Isabel;1;;1.5;;2.3;2.359;;3.632
PB;2512408;Puxinanã;0.7;;1.3;;1.8;1.845;;3.075
PB;2512507;Queimadas;0.7;;1.3;;2.1;2.101;;2.913
PB;2512606;Quixabá;0.9;;1;;1.9;1.635;;2.613
PB;2512705;Remígio;0.5;;0.9;;2.1;2.197;;3.049
PB;2512721;Pedro Régis;;;;;;0.994;;1.71
PB;2512747;Riachão;;;;;;1.213;;2.271
PB;2512754;Riachão do Bacamarte;;;;;;1.395;;2.484
PB;2512762;Riachão do Poço;;;;;;1.378;;2.161
PB;2512788;Riacho de Santo Antônio;;;;;;1.134;;2.504
PB;2512804;Riacho dos Cavalos;0.2;;1;;1.6;1.591;;2.155
PB;2512903;Rio Tinto;0.8;;1.5;;2.3;2.559;;3.71
PB;2513000;Salgadinho;0.9;;0.8;;1.2;1.36;;2.41
PB;2513109;Salgado de São Félix;0.8;;1;;1.6;1.597;;2.413
PB;2513158;Santa Cecília;;;;;;0.835;;1.345
PB;2513208;Santa Cruz;1;;1.6;;2.1;2.119;;3.199
PB;2513307;Santa Helena;0.3;;1.5;;2.1;2.161;;3.128
PB;2513356;Santa Inês;;;;;;1.288;;2.201
PB;2513406;Santa Luzia;1.6;;2.5;;3.7;3.619;;4.47
PB;2513505;Santana de Mangueira;0.4;;0.8;;1.2;1.243;;2.21
PB;2513604;Santana dos Garrotes;0.2;;0.8;;1.8;1.815;;2.806
PB;2513653;Santarém;;;;;;1.381;;2.374
PB;2513703;Santa Rita;1;;1.8;;3;2.966;;4.073
PB;2513802;Santa Teresinha;0.6;;0.9;;1.5;1.551;;2.734
PB;2513851;Santo André;;;;;;1.78;;2.951
PB;2513901;São Bento;0.8;;1.2;;2.1;2.06;;2.898
PB;2513927;São Bentinho;;;;;;1.495;;2.292
PB;2513943;São Domingos do Cariri;;;;;;2.004;;2.93
PB;2513968;São Domingos de Pombal;;;;;;1.314;;1.984
PB;2513984;São Francisco;;;;;;1.595;;2.315
PB;2514008;São João do Cariri;0.7;;1.6;;2.1;2.592;;3.716
PB;2514107;São João do Tigre;0.5;;0.7;;1.1;1.237;;2.117
PB;2514206;São José da Lagoa Tapada;0.7;;0.7;;1.5;1.512;;2.052
PB;2514305;São José de Caiana;0.4;;0.8;;1.3;1.39;;2.259
PB;2514404;São José de Espinharas;0.9;;1;;1.6;1.578;;2.566
PB;2514453;São José dos Ramos;;;;;;0.966;;1.932
PB;2514503;São José de Piranhas;0.9;;1.2;;2;1.986;;2.778
PB;2514552;São José de Princesa;;;;;;1.903;;2.63
PB;2514602;São José do Bonfim;0.8;;0.9;;1.9;2.028;;2.594
PB;2514651;São José do Brejo do Cruz;;;;;;1.243;;2.659
PB;2514701;São José do Sabugi;1.3;;1.5;;2.3;2.371;;3.465
PB;2514800;São José dos Cordeiros;1;;1.4;;2.1;1.991;;2.624
PB;2514909;São Mamede;0.7;;1.9;;2.8;2.82;;3.615
PB;2515005;São Miguel de Taipu;0.3;;0.7;;1.2;1.122;;2.033
PB;2515104;São Sebastião de Lagoa de Roça;0.6;;0.9;;1.7;1.748;;2.866
PB;2515203;São Sebastião do Umbuzeiro;0.3;;1;;2;1.941;;2.764
PB;2515302;Sapé;0.6;;1.1;;1.9;2.092;;2.869
PB;2515401;Seridó;0.6;;0.9;;1.4;1.578;;2.439
PB;2515500;Serra Branca;0.9;;1.7;;2.9;2.974;;3.549
PB;2515609;Serra da Raiz;0.5;;0.6;;1.5;1.642;;2.586
PB;2515708;Serra Grande;0.4;;0.9;;1.3;1.428;;2.169
PB;2515807;Serra Redonda;0.6;;1.1;;1.7;1.681;;2.634
PB;2515906;Serraria;0.5;;0.7;;1.2;1.246;;2.182
PB;2515930;Sertãozinho;;;;;;1.778;;2.801
PB;2515971;Sobrado;;;;;;1.283;;2.239
PB;2516003;Solânea;0.7;;0.9;;1.9;2.184;;2.999
PB;2516102;Soledade;1.2;;2.2;;2.5;2.489;;3.543
PB;2516151;Sossêgo;;;;;;1.414;;2.182
PB;2516201;Sousa;1.3;;2;;3.1;3.409;;4.265
PB;2516300;Sumé;0.7;;1.6;;2.4;2.47;;3.451
PB;2516409;Campo de Santana;0.3;;0.8;;1.1;1.149;;2.208
PB;2516508;Taperoá;0.7;;1.4;;2;2.051;;2.954
PB;2516607;Tavares;0.5;;0.7;;1.7;1.729;;2.206
PB;2516706;Teixeira;1;;1.5;;2.4;3.08;;3.482
PB;2516755;Tenório;;;;;;1.5;;2.211
PB;2516805;Triunfo;0.5;;1;;2;2.044;;2.621
PB;2516904;Uiraúna;0.6;;1.3;;2.4;2.78;;3.571
PB;2517001;Umbuzeiro;0.7;;0.9;;1.2;1.474;;2.251
PB;2517100;Várzea;1.1;;1.9;;3.1;3.222;;4.789
PB;2517209;Vieirópolis;;;;;;1.312;;1.903
PB;2517407;Zabelê;;;;;;1.607;;2.886
PE;2600054;Abreu e Lima;;;;;4.4;4.384;;5.544
PE;2600104;Afogados da Ingazeira;1.3;;1.8;;3;3.049;;4.161
PE;2600203;Afrânio;0.5;;1.1;;1.3;1.315;;2.179
PE;2600302;Agrestina;0.4;;0.9;;1.6;1.642;;2.817
PE;2600401;Água Preta;0.6;;0.9;;1.7;1.769;;2.787
PE;2600500;Águas Belas;0.5;;0.8;;1.5;1.468;;2.385
PE;2600609;Alagoinha;0.9;;1.3;;2.5;2.492;;3.314
PE;2600708;Aliança;0.7;;1.1;;2.1;2.083;;3.054
PE;2600807;Altinho;0.4;;0.8;;1.6;1.587;;2.623
PE;2600906;Amaraji;0.6;;0.9;;1.9;1.882;;3.004
PE;2601003;Angelim;0.6;;0.9;;1.8;1.886;;2.8
PE;2601052;Araçoiaba;;;;;;1.716;;2.864
PE;2601102;Araripina;0.8;;1;;2.2;2.225;;3.348
PE;2601201;Arcoverde;1.7;;2.9;;4.4;4.402;;5.319
PE;2601300;Barra de Guabiraba;0.6;;0.8;;1.7;1.67;;2.358
PE;2601409;Barreiros;1.2;;1.8;;3.2;3.163;;4.051
PE;2601508;Belém de Maria;0.7;;1.1;;1.8;1.802;;2.665
PE;2601607;Belém de São Francisco;1.1;;1.3;;2.8;2.812;;3.819
PE;2601706;Belo Jardim;0.7;;1.2;;2.5;2.478;;3.528
PE;2601805;Betânia;0.7;;0.9;;1.9;1.905;;2.516
PE;2601904;Bezerros;0.7;;1.1;;2.1;2.141;;3.087
PE;2602001;Bodocó;0.3;;0.7;;1.8;1.782;;2.815
PE;2602100;Bom Conselho;0.9;;1.3;;2;1.961;;3.29
PE;2602209;Bom Jardim;0.6;;0.9;;1.8;1.839;;2.843
PE;2602308;Bonito;0.8;;1.2;;1.8;1.793;;2.918
PE;2602407;Brejão;0.8;;1.1;;1.7;1.753;;2.688
PE;2602506;Brejinho;0.6;;0.9;;1.7;1.745;;2.616
PE;2602605;Brejo da Madre de Deus;0.7;;1;;1.9;1.855;;2.625
PE;2602704;Buenos Aires;0.6;;1.1;;1.9;1.913;;3.057
PE;2602803;Buíque;0.3;;0.7;;1.5;1.45;;2.184
PE;2602902;Cabo de Santo Agostinho;1.2;;2.2;;3.8;3.821;;5.081
PE;2603009;Cabrobó;0.9;;1.6;;2.4;2.433;;3.536
PE;2603108;Cachoeirinha;0.4;;0.7;;1.8;1.809;;2.798
PE;2603207;Caetés;0.2;;0.6;;1;1.009;;1.97
PE;2603306;Calçado;0.6;;1.1;;2;1.868;;2.762
PE;2603405;Calumbi;0.4;;0.4;;1.6;1.642;;2.594
PE;2603454;Camaragibe;;;;;4.3;4.252;;5.52
PE;2603504;Camocim de São Félix;0.7;;1.1;;1.8;1.824;;2.709
PE;2603603;Camutanga;0.9;;1.3;;2.8;2.724;;3.472
PE;2603702;Canhotinho;0.7;;0.9;;1.7;1.69;;2.576
PE;2603801;Capoeiras;0.4;;0.7;;1.5;1.524;;2.483
PE;2603900;Carnaíba;0.5;;0.6;;1.8;1.884;;3.058
PE;2603926;Carnaubeira da Penha;;;;;;1.564;;2.16
PE;2604007;Carpina;1.4;;2.2;;3.6;3.868;;4.867
PE;2604106;Caruaru;1.6;;2.8;;4.2;4.182;;5.152
PE;2604155;Casinhas;;;;;;1.475;;2.317
PE;2604205;Catende;1.1;;1.7;;2.8;2.83;;3.969
PE;2604304;Cedro;0.4;;0.9;;1.7;1.781;;3.06
PE;2604403;Chã de Alegria;0.4;;0.8;;2;1.996;;3.114
PE;2604502;Chã Grande;0.7;;1.1;;1.7;1.713;;2.6
PE;2604601;Condado;0.8;;1.3;;2.5;2.533;;3.683
PE;2604700;Correntes;0.8;;1;;1.8;1.817;;2.743
PE;2604809;Cortês;0.7;;1.1;;1.7;1.773;;2.772
PE;2604908;Cumaru;0.3;;0.7;;1.7;1.725;;2.452
PE;2605004;Cupira;0.6;;0.9;;1.8;1.831;;2.589
PE;2605103;Custódia;0.6;;1.2;;2.2;2.236;;3.212
PE;2605152;Dormentes;;;;;;0.749;;2.121
PE;2605202;Escada;1;;1.7;;2.7;2.725;;3.866
PE;2605301;Exu;0.6;;1.1;;1.9;1.938;;2.879
PE;2605400;Feira Nova;0.5;;0.8;;1.7;1.667;;2.469
PE;2605459;Fernando de Noronha;3.4;;4.7;;6.2;6.198;;7.586
PE;2605509;Ferreiros;0.6;;1.2;;2.2;2.176;;3.273
PE;2605608;Flores;0.4;;0.9;;2;1.976;;2.439
PE;2605707;Floresta;1.2;;1.7;;2.9;3.429;;4.661
PE;2605806;Frei Miguelinho;0.4;;0.9;;1.5;1.53;;2.306
PE;2605905;Gameleira;0.8;;1.1;;2.1;2.114;;2.875
PE;2606002;Garanhuns;1.8;;2.6;;4.1;4.148;;5.074
PE;2606101;Glória do Goitá;0.4;;0.7;;2;2.043;;2.898
PE;2606200;Goiana;1.4;;2.1;;3.6;3.584;;4.674
PE;2606309;Granito;0.2;;0.7;;1.8;1.774;;2.578
PE;2606408;Gravatá;1;;1.6;;2.6;2.623;;3.842
PE;2606507;Iati;0.3;;0.7;;1.1;1.071;;1.718
PE;2606606;Ibimirim;0.7;;1.1;;1.8;1.829;;2.633
PE;2606705;Ibirajuba;0.4;;0.9;;1.6;1.527;;2.367
PE;2606804;Igarassu;1;;1.9;;3.2;3.401;;5.014
PE;2606903;Iguaraci;0.9;;1;;2.1;2.084;;3.171
PE;2607000;Inajá;0.3;;0.3;;1.2;1.961;;2.88
PE;2607109;Ingazeira;0.8;;1;;2.5;2.416;;3.463
PE;2607208;Ipojuca;0.6;;1.2;;2.4;2.35;;3.662
PE;2607307;Ipubi;0.3;;0.7;;1.4;1.41;;2.555
PE;2607406;Itacuruba;0.8;;1.4;;3.3;2.895;;4.211
PE;2607505;Itaíba;0.3;;0.5;;1.1;1.092;;1.998
PE;2607604;Itamaracá;1.3;;2.6;;3.8;3.829;;5.275
PE;2607653;Itambé;0.6;;1;;1.9;1.926;;2.785
PE;2607703;Itapetim;0.4;;1.5;;2.4;2.371;;3.49
PE;2607752;Itapissuma;;;;;3;3.016;;4.258
PE;2607802;Itaquitinga;0.7;;1.2;;2.2;2.219;;3.409
